user_id,hotel_cluster,date_time
4539,37,2014-09-29 17:16:00
6330,78,2014-12-12 11:22:54
7783,20,2014-01-05 06:06:30
7783,17,2014-01-09 11:38:07
11843,46,2014-08-13 16:51:42
13459,72,2014-05-29 11:52:56
14099,95,2014-09-11 07:21:39
18787,98,2014-12-14 14:43:06
25159,18,2014-09-28 12:16:05
26941,9,2014-11-05 11:20:57
28488,90,2013-01-14 18:52:49
33498,47,2014-03-19 09:57:24
36006,36,2014-09-26 21:32:19
38878,62,2014-10-26 05:29:53
42872,77,2014-12-19 12:45:49
43845,29,2013-04-22 22:51:21
44065,36,2014-09-07 08:49:27
45567,41,2014-02-14 13:17:06
49410,78,2013-03-19 04:32:20
49668,1,2014-11-20 01:35:39
51787,91,2014-06-06 07:43:01
52092,48,2013-06-19 07:18:53
53306,72,2013-12-31 11:48:46
53412,76,2014-10-24 09:23:02
53865,18,2013-04-03 15:23:09
54163,91,2013-02-27 11:43:09
54512,36,2014-03-12 21:20:33
57803,54,2014-09-05 10:25:50
60877,98,2014-06-29 18:33:09
62746,64,2014-07-25 00:16:24
63541,95,2014-12-21 16:52:39
64455,81,2014-04-19 11:53:41
67769,72,2014-02-06 19:58:12
69003,99,2013-02-07 13:47:00
69003,98,2013-03-20 11:29:30
70535,38,2013-03-25 14:13:43
70535,48,2013-05-11 12:57:41
70663,70,2013-06-10 17:43:19
71732,42,2014-05-03 09:30:31
72327,61,2014-02-12 09:35:05
72708,58,2013-03-24 21:43:57
73944,41,2014-08-15 12:26:59
75547,6,2013-03-03 14:12:45
77226,97,2014-03-23 08:31:38
81581,15,2014-03-03 20:20:58
82825,68,2014-03-04 21:25:54
89202,98,2014-06-13 13:31:41
89698,26,2014-06-14 06:33:44
90199,48,2013-08-29 09:47:43
91726,3,2013-07-26 17:16:28
94390,59,2013-02-11 12:07:28
94390,15,2013-04-04 15:46:59
94390,6,2013-08-07 16:05:27
94390,89,2013-09-25 15:23:52
94390,7,2013-10-04 09:11:08
94390,48,2014-03-26 10:15:42
94633,10,2013-08-26 11:20:27
94633,10,2014-08-13 15:45:57
96532,5,2013-03-19 14:48:05
96595,32,2013-08-21 19:16:52
96718,75,2013-08-14 13:17:03
100082,48,2014-08-22 12:47:08
100801,70,2014-06-12 07:05:15
101223,33,2014-08-06 05:42:17
105006,96,2013-07-04 22:47:56
109157,48,2014-04-02 00:04:27
111660,97,2013-09-24 10:01:56
112814,24,2013-03-30 19:34:02
114805,69,2014-03-15 18:22:14
